12,0.0
12.375,1.0
12.75,2.0
13.125,0.0
13.125,1.0
13.5,0.1
13.875,1.0
14.25,2.1
14.625,1.0
14.625,0.1
15,0.0
15.375,1.1
15.75,2.1
16.125,0.0
16.125,1.1
16.5,1.0
16.875,2.0
17.25,3.0
17.625,2.0
17.625,1.0
18,0.0
18.375,1.0
18.75,2.0
19.125,0.0
19.125,1.0
19.5,0.1
19.875,1.0
20.25,2.1
20.625,1.0
20.625,0.1
21,0.0
21.375,1.1
21.75,2.1
22.125,0.0
22.125,1.1
22.5,1.0
22.875,2.0
23.25,3.0
23.625,2.0
23.625,1.0
24,1.0
24.375,2.0
24.75,2.0
25.5,0.1
25.875,1.0
26.25,1.0
27,0.0
27.375,1.1
27.75,1.1
28.5,1.0
28.875,2.0
29.25,2.0
30,2.0
30.375,1.0
30.75,0.0
31.5,0.1
31.875,1.0
32.25,2.1
33,2.1
33.375,1.1
33.75,0.0
34.5,1.0
34.875,2.0
35.25,3.0
36,0.0
36.375,1.0
36.75,0.0
37.5,0.1
37.875,1.0
38.25,0.1
39,2.1
39.375,1.1
39.75,2.1
40.5,3.0
40.875,2.0
41.25,1.0
42,0.0
42.375,0.1
42.75,1.1
43.125,1.0
43.5,2.1
43.875,2.0
44.25,3.0
44.625,2.0
45,2.1
45.375,1.0
45.75,1.1
46.5,1.1
46.875,1.0
47.25,1.1
47.625,0.0
48,0.0
48.375,0.1
48.75,0.0
49.125,0.1
49.5,1.1
49.875,0.1
50.25,0.0
50.25,1.1
50.625,0.1
50.625,1.0
51,1.1
51,2.1
51.375,1.0
51.375,2.0
51.75,2.1
51.75,3.0
52.125,2.0
52.125,1.0
52.5,3.0
52.875,2.1
53.0625,2.0
53.4375,1.1
53.625,1.0
54,1.0
54.375,1.0
54.75,1.0
55.125,1.0
55.5,1.1
55.875,1.1
56.25,1.1
56.625,1.1
57,0.0
57.375,0.0
57.75,0.0
58.125,0.0
58.875,0.0
59.625,0.0
60,0.0
61.875,1.1
62.25,0.1
64.125,1.1
64.5,0.0
