8,2
9,1
10,3
11,0
12,2
13,1
14,3
15,0
16,2
17.25,0
17.5,0
17.75,0
18,3
19,0
19.5,3
19.5,0
20,2
21.25,0
21.5,0
21.75,0
22,3
23,0
23.5,3
23.5,0
24,2
24.5,0
25,2
25.75,0
26,3
26.75,0
27,3
27.5,0
27.75,2
28,2
28.5,0
29,2
29.75,0
30,3
30.75,0
31,3
31.5,0
31.75,2
32,2
33.25,0
33.5,0
33.75,0
34,3
35,0
35.5,3
35.5,0
36,2
36.5,0
37,2
37.75,0
38,3
38.75,0
39,3
39.5,0
39.75,2
40,2
41.25,0
41.5,0
41.75,0
42,3
43,0
43.5,3
43.5,0
44,2
44.75,0
45.75,0
46.25,3
46.75,0
47.25,0
47.5,3
48.5,2
49.5,0
50.75,3
51.5,2
52.5,2
53.5,0
54.75,3
55.5,2
